Strain,Company,Types,Categories,THC level,Price,Feelings,Flavor,Description,THC level numeric,Price numeric
White Cherry Runtz | Flower Bag,Pura,Hybrid,Flower,25.00%,$45.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,"Evenly balanced at 50/50 on the indica/sativa spectrum, White Cherry Runtz is sweet and tangy with a lavender aroma and flavors of berry and rose. Users report enjoyable euphoric and tingly feelings when consuming White Cherry Runtz.",25,45
Cosmic Crashers,Verde Lucido,Hybrid,Flower,22.51%,$32.00 ,"Happy,Focused,Uplifted",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,22,32
End Game| Moonrocks,Veterans Choice Creations,Hybrid,Flower,59%,$66.00 ,"Uplifted,Happy",Not Specified,"Elevate your senses to cosmic heights with Space Buds Moon Rocks by Veterans Choice Creations. Comprised of our premier Endgame hybrid strain, these moon rocks combine flower, hash rosin, THCA, kief, and bubble hash for an unparalleled experience. Expertly grown by SEGA Farms and bred by Ethos Genetics, this product epitomizes quality and potency.Components and Potency Total Cannabinoids: 69%Total THC: 59%Minor Cannabinoids: Balanced blend of THCV, CBC, CBN, CBD, and 1.5% CBG Experience Endgame Moon Rocks offer a balanced and potent experience,designed to deliver a multi-faceted high. Each component adds its own layer of complexity and depth, making for a truly unique cannabis journey.Terpene Profile Our Endgame blend features a rich terpene profile led by primary terpenes like R-limonene and alpha-pinene, contributing to a unique and nuanced experience.How to Consume Method of Consumption Smoking: Break the Moon Rocks into smaller pieces and mix with your regular cannabis flower in a pipe or rolling paper.Vaping: Use a vaporizer designed to handle concentrates. Place a small amount of Moon Rocks into the chamber and vape at a low temperature.Recommended Dosage Beginners: Start with a piece about the size of a BB pellet (~0.1 grams). Wait 30-60 minutes before considering additional consumption.Experienced Users: A pea-sized piece (~0.2 to 0.3 grams) should suffice. Again, wait 30-60 minutes to assess effects.",59,66
Carbon Fiber,Zizzle,Hybrid,Flower,24.71%,$52.00 ,"Talkative,Hungry,Aroused","chemical,pepper,ammonia","Carbon Fiber is a hybrid weed strain made from a genetic cross between Grape Pie, Biscotti, and Cookies and Cream. Carbon Fiber is 24% THC and 1% CBG, making this strain an ideal choice for moderate and experienced cannabis consumers. Leafly customers tell us Carbon Fiber effects include talkative, aroused, and euphoric. Medical marijuana patients often choose Carbon Fiber when dealing with symptoms associated with lack of appetite, anxiety, and depression. Bred by the incomparable Cannarado Genetics, Carbon Fiber features flavors like pepper, earthy, and chemical. The dominant terpene of this strain is caryophyllene. The average price of Carbon Fiber typically ranges from $50?$75. If you?ve smoked, dabbed, or consumed Carbon Fiber, tell us about your experience by leaving a strain review.",24,52
Banana Jealousy | Dimes,HUDSON CANNABIS,Hybrid,Flower,24%,$9 ,"Calm, Happy, Relaxed, Energetic",Not Specified,N/A,24,9
Triple Infused | Cheetah PizzxOreoz | Tsunami,7 SEAZ,Hybrid,Pre-rolls,31.38%,$25.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,31,25
Triple Infused | ZkittlesxWhite Runtz | Tsunami,7 SEAZ,Hybrid,Pre-rolls,49.01%,$25.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Roll packs are a convenient and effective way to consume cannabis. Pre-Roll packs generally contain smaller pre-rolls so that each can be consumed in one sitting.",49,25
Triple Infused | Pink GuavaxSunset | 5pk | Tidal Waves | 0.5g,7 SEAZ,Hybrid,Pre-rolls,35.19%,$55.00 ,"Calm, Happy, Relaxed, Energetic, Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Roll packs are a convenient and effective way to consume cannabis. Pre-Roll packs generally contain smaller pre-rolls so that each can be consumed in one sitting.",35,55
Triple Infused | RainbowxGelato 41 | Tsunami,7 SEAZ,Hybrid,Pre-rolls,36.68%,$25.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Roll packs are a convenient and effective way to consume cannabis. Pre-Roll packs generally contain smaller pre-rolls so that each can be consumed in one sitting.",36,25
Apple Pop | Infused  | 6 Pack,Animal,Hybrid,Pre-rolls,40%,$65.00 ,"Creative, Energetic, Happy",Not Specified,N/A,40,65
Biscotti,Bannermans Batch,Hybrid,Pre-rolls,23.28%,$100.00 ,"Tingly,Relaxed,Hungry","vanill,diesel,honey","Biscotti is a potent indica-dominant hybrid marijuana strain reportedly made by crossing Gelato 25 with Sour Florida OG. Others report that Biscotti is Motorbreath x G41. This strain produces a cerebral high that leave consumers feeling relaxed, creative, and buzzy from head-to-toe. The effects of Biscotti are known to creep up on consumers, so it's best to take it slow with this strain. In terms of flavor, Biscotti tastes like sweet cookies with undertones of diesel. With a THC level of 21%, medical marijuana patients turn to this strain to relieve symptoms associated with stress, anxiety, and depression. The striking trichome coverage of this strain gives it top shelf appeal. Biscotti was originally bred by Cookies Farms. If you've smoked, dabbed, or consumed this strain before, tell us about your experience by leaving a review.",23,100
Dosi | 1g,Cornucopia,Hybrid,Pre-rolls,15%,$12.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,"Elevate your cannabis experience with our premium Hybrid Dosi 1 Gram Pre-Roll, masterfully infused with high-quality kief. Hand-selected Dosi Do flowers, known for their potent effects and aromatic profile, are used to create this top-tier pre-roll. Enjoy a substantial and satisfying session with a full gram of premium flower in every pre-roll. Whether you?re looking to enhance your creativity, relax your body, or simply enjoy a premium smoke, the Dosi Do 1 Gram Pre-Roll Infused with Kief is your perfect companion.",15,12
Zkittles | 1g,Cornucopia,Hybrid,Pre-rolls,19%,$12.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,"Experience the vibrant, essence of Hybrid Zkittles in a convenient pre-roll format,enhanced with the potent addition of kief. Each pre-roll is expertly crafted using premium Zkittles flower, known for its balanced and relaxing effects, Zkittles provides a mellow,euphoric high that can help relieve stress and enhance mood without overwhelming the senses.",19,12
Lemon Cherry Gelato | Infused | Joint | 0.5g,Dank,Hybrid,Pre-rolls,35%,$14.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,"Step into the world of sweet indulgence with our Bubble Gum Gelato and Cotton Candy Breath duo, housed in our signature Deuces dual-chamber tank. On one side, Bubble Gum Gelato tantalizes with its creamy sweetness and hints of nostalgic bubble gum flavor. Meanwhile, Cotton Candy Breath on the other side offers a sugary delight that'll leave you craving more. Both strains deliver the soothing and relaxing effects characteristic of indica varieties, perfect for unwinding after a long day and melting away stress. Whether you prefer to savor each flavor individually or blend them for a unique experience, Deuces gives you the freedom to customize your journey. Get ready to double your enjoyment with our Bubble Gum Gelato and Cotton Candy Breath combo - because why settle for one flavor when you can have two?",35,14
White Widow | Infused | Joint | 0.5g,Dank,Hybrid,Pre-rolls,28%,$16.00 ,"Energetic,Talkative,Uplifted","woody,spicy herbal,earthy","White Widow is a hybrid weed strain made from a genetic cross between a Brazilian sativa landrace and a resin-heavy South Indian indica. This strain is 60% sativa and 40% indica. White Widow is one of the most famous strains worldwide, first bred in the Netherlands by Green House Seeds in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow is 15% THC, making this strain an ideal choice for moderate cannabis consumers. Leafly customers tell us White Widow effects include feeling energetic, talkative, and creative. Medical marijuana patients often choose White Widow when dealing with symptoms associated with stress, anxiety, and pain. White Widow features flavors like woody, spicy/herbal, and earthy. The dominant terpenes of this strain are myrcene and caryophyllene, though growing conditions and strain phenotypes may impact the exact blend. The average price of White Widow typically ranges from $8-$12 per gram. White Widow is a balanced hybrid that can be enjoyed by both indica and sativa lovers. It has a flowering time of 8-9 weeks and can be grown indoors or outdoors in mild climates. It produces chunky and conical buds with a loose and fluffy texture that are easy to break up despite their stickiness. If you?ve smoked, dabbed, or consumed White Widow, tell us about your experience by leaving a strain review.",28,16
Rose | Botanicals,Drew Martin,Hybrid,Pre-rolls,40%,$20.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"BE OPEN | Rose Petal + Hybrid The gentle aroma of rose petals envelops you, clearing your mind. A refreshing tingle of peppermint swirls around the hybrid cannabis cultivar leaving you feeling balanced and more open to the world around you. You exhale, ?Be open.? This curated blend of cannabis and botanicals was formulated by Drew Martin, an award-winning mixologist and herbalist, to harness the power of plants through cannabinoids, terpenes, and botanicals.",40,20
Lavender | Botanicals | 2 Pack,Drew Martin,Hybrid,Pre-rolls,29%,$20.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"BE OPEN | Rose Petal + Hybrid The gentle aroma of rose petals envelops you, clearing your mind. A refreshing tingle of peppermint swirls around the hybrid cannabis cultivar leaving you feeling balanced and more open to the world around you. You exhale, ?Be open.? This curated blend of cannabis and botanicals was formulated by Drew Martin, an award-winning mixologist and herbalist, to harness the power of plants through cannabinoids, terpenes, and botanicals.",29,20
Velvet Lushers | 7 Pk,Florist Farms,Hybrid,Pre-rolls,25%,$38.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",25,38
Super Boof | 7 Pk,Florist Farms,Hybrid,Pre-rolls,28%,$38.00 ,"Giggly,Hungry,Euphoric","orange,grapefruit,blue cheese","Super Boof is a zingy hybrid weed strain made by crossing Black Cherry Punch and Tropicana Cookies. It has the same chunky, deep green buds as its parents that look wet with silver calyxes. The effects of Super Boof are believed to be intensely relaxing and giggly. Reviewers on Leafly say this strain makes them feel euphoric, creative and focused. Medical marijuana patients say they buy Super Boof for gastrointestinal disorders, depression, and fibromyalgia. Super Boof regularly tests at 28% THC. The dominant terpene is myrcene, which translates to earthy, and cherry notes. The original breeder of the Super Boof strain is California's Blockhead, who named it ""Blockberry."" Grower Mobile Jay selected a variety and named it Superboof.",28,38
Pause | Cherry Noir | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,22.36%,$59.00 ,"Happy,Relaxed,Creative,Focused,Uplifted",Not Specified,"PAUSE - (Hybrid) A Relaxing, Chill Experience Pause to reset your day while hanging with friends, watching a movie, or walking your dog. The anytime pre-roll.",22,59
Party - Hella Jelly | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,26.62%,$59.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"PARTY - (Hybrid) An Energetic, Happy Experience Perfect for a day on the slopes, a summer BBQ, or a deep house clean, these pre-rolls bring the party energy",26,59
Pause | Gazurple | 2 Pack,Honeybee Collective,Hybrid,Pre-rolls,18.62%,$15.50 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"PAUSE - A Relaxing, Chill Experience Pause to reset your day while hanging with friends, watching a movie, or walking your dog. The anytime pre-roll.",18,15.5
Gelato | Liquid Diamond | 5 Pack,Luci,Hybrid,Pre-rolls,19.52%,$56.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"This evenly balanced hybrid is known for its energizing and creative effects making it the perfect strain for daytime and social use. each joint is filled with new york grown flower, coated with high-terpene liquid thca diamonds, and rolled in kief.",19,56
Lemon Cane x Gelonade Resin,MFNY,Hybrid,Pre-rolls,28.77%,$20.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Creative",Not Specified,"Rolled up and ready to smoke, Pre-Rolls are a convenient and effective way to consume cannabis. Pre-Rolls come in many different forms and can be rolled with flower, shake, ""b-buds"", infused with concentrates, and more.",28,20
Big Apple Fritter | 3 Pack,Zizzle,Hybrid,Pre-rolls,25%,$26.00 ,"Relaxed,Happy,Focused,Energetic",Not Specified,"Big Apple Fritter is a hybrid strain that is known for its deliciously sweet and spicy flavor, reminiscent of a freshly baked apple pastry. It is a cross between Apple Fritter & the original NY Sour Diesel, resulting in a well balanced hybrid that offers both physical relaxation and mental clarity, The THC levels of Big Apple Fritter can range from moderate to high, Its effects are known to be both cerebral and physical, inducing a sense of happiness, euphoria, and relaxation. It is an ideal strain for unwinding after a long day!Big Apple Fritter has dense, dark green buds that are covered in a thick layer of trichomes. Its flavor profile is sweet and spicy, with hints of apple, cinnamon, and nutmeg, making it a popular choice among those who enjoy sweet strains.",25,26
Apple Fritter,N/A,Hybrid,Pre-rolls,29%,$270.00 ,"Relaxed,Tingly,Giggly","apple,butter,cheese","Apple Fritter, a true hybrid weed strain, is known for its powerful and relaxing high. Put out by Lumpy?s Flowers, the Apple Fritter marijuana strain is a reported cross of Sour Apple and Animal Cookies. According to Leafly reviewers, Apple Fritter?s effects include feeling relaxed, giggly, and tingly. It's a great hybrid, combining the stone of GSC with the energy of a diesel. Apple Fritter cannabis has a flavor and aroma that come off as sweet and earthy, with a light, cheesy, apple pastry influence.",29,270
Peace | Bubble Gum x Chem 1 | 2 Pack,Honeybee Collective,Hybrid,Pre-rolls,16.79%,$15.50 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Sleep",Not Specified,"PEACE - A Soothing, Restful Experience Reach for Peace pre-roll before a yoga session, a midday nap, or while getting ready for bed, and let the smoke comfort your soul.",16,15.5
Peace | Gelato Cake | 10 Pack,Honeybee Collective,Hybrid,Pre-rolls,22.34%,$59.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted,Sleep",Not Specified,"PEACE - Gelato cake is a potent indica-dominant.A Soothing, Restful ExperienceReach for Peace pre-roll before a yoga session, a midday nap, or while getting ready for bed, and let the smoke comfort your soul.",22,59
Calm | Mood | AIO | (CBD),ayrloom,Hybrid,Vaporizers,90%,$35.00 ,Relaxed,Not Specified,"Pure balance. expect a soothing and tranquil experience with ayrloom mood?s calm vape. a blend that?s both earthy and subtly sweet with lavender + red berry notes. perfect for an outdoor activity to calm the mind + connect with nature.INGREDIENTS CANNABIS EXTRACT, BOTANICALLY DERIVED TERPENES INSTRUCTIONS INHALE FOR 3-5 SECONDS. WAIT AT LEAST 30 SECONDS BETWEEN PUFFS. STORE VERTICALLY AND AT ROOM TEMPERATURE AWAY FROM LIGHT.",90,35
Orange Creamsicle | Vape Cart,ayrloom,Hybrid,Vaporizers,90%,$60.00 ,"Focused,Happy,Relaxed,Energetic",Not Specified,ORANGE AND CREAM LIKE A MIDSUMMER NIGHT?S DREAM. DECADENT VANILLA AND TANGY ORANGE TEAM UP TO BRING YOU CREAMSICLE.,90,60
Cereal Milk | AIO,ayrloom,Hybrid,Vaporizers,90%,$35.00 ,"Aroused,Giggly,Relaxed","vanilla,butter,sweet","Cereal Milk is a hybrid marijuana strain from Cookies. Cereal Milk is made by crossing Y Life (Cookies x Cherry Pie) and Snowman, a sativa-dominant Cookies pheno. Cereal Milk has a loud flavor with a sweet milk and ice cream nose that will keep you dipping back into your stash. You can expect dense, quality nugs dripping with trichomes and a potent high.",90,35
Watermelon | AIO,ayrloom,Hybrid,Vaporizers,90%,$35.00 ,Happy,Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,90,35
Caramel Latte | AIO | 1g,Cannabals,Hybrid,Vaporizers,88%,$65.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Cannabis-infused vapor inhaled from a liquid cannabis concentrate heated with an electric-powered device or battery. Vaporization allows for inhalation of higher-potency concentrate with a delivery method that is an alternative to smoking, but typically with the same immediate onset.",88,65
Watermelon Z | AIO | 1g,Cannabals,Hybrid,Vaporizers,88%,$65.00 ,"Calm,Energetic,Happy,Telaxed",Not Specified,"These mouth-watering Watermelon Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of watermelon.",88,65
Jealousy | Disposable | 0.5g,EUREKA,Hybrid,Vaporizers,93%,$40.00 ,"Energetic,Tingly,Talkative","berry,pear,tropical","Unleash your harmonic extrovert with the Artisan Series Mystical Melody. Mystical Melody brings you lush red raspberries with a pungent squeeze of lime and tangerine. Inspire your palate as you inhale, and exhale melodious conversation and rhythmic creativity. This balanced Hybrid will invite your spirit to roam gleefully free with a force of euphoric vitality. Have the all-day stamina to manifest and embody your own brilliant gifts.",93,40
Grape Limeade | Disposable | 0.5g,EUREKA,Hybrid,Vaporizers,92.96%,$60.00 ,"Calm,Happy,Relaxed,Energetic","Paranoid,Dizzy,Dry eyes","""The FUSION split pack.5g brings you our pure & potent distillate combined with naturally derived fruit terpenes in a convenient,rechargeable vape.EUREKA loves to switch things up so we created this flavor! Each season will be a new seasonal flavor. Put your tastebuds to the test and see if you can guess what delicious flavor we debut for each season! Our cannabis oil is 100% natural, pesticide-free, solvent-free, and never cut or altered with MCT, PG, VG or Vitamin E Acetate.""",92,60
Happy Camper - 1g - Vape,Holidav,Hybrid,Vaporizers,89%,$70.00 ,"Calm,happy,relaxed,energetic",Not Specified,"In the mountains, on the beach, or just in your backyard--any place is a good place to pitch a tent and build a fire. Happy Camper is the perfect vibe to roast while mellowing (see what we did there?).ABOUT THE HARDWARE: The H-bar hardware is USB-C rechargeable and has a window for oil visibility. The compact design of the H-bar fits in the palm of your hand and can be comfortably placed in your pocket. Holiday distillate vapes are flavored with high-quality botanical terpenes.",89,70
Airplane Mode | 1g,Holiday,Hybrid,Vaporizers,62%,$70.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,?Kick off your shoes and reach for noise-cancelling headphones as you set your surroundings to Airplane Mode.Mind-calming CBG provides relaxation to the muscles while you kick-back.ABOUT THE HARDWARE: The H-bar hardware is USB-C rechargeable and has a window for oil visibility. The compact design of the H-bar fits in the palm of your hand and can be comfortably placed in your pocket. Holiday distillate vapes are flavored with high-quality botanical terpenes.?,62,70
Honey Banana | Live Resin,MFNY,Hybrid,Vaporizers,80.76%,$48.00 ,"Happy,Giggly,Uplifted","honey,tree fruit,sweet",Honey Bananas from Elemental Seeds is a heavy-handed hybrid strain bred from Strawberry Banana and Honey Boo Boo. This cannabis strain earns its name with a resinous coat as sticky as honey and an unmistakable banana aroma. She tends to provide weighty full-body effects coupled with an invigorating buzz of cerebral euphoria.,80,48
Rated R | Vape | Live Rosin | 0.5g,Rezinators,Hybrid,Vaporizers,65.00%,$55.00 ,"Focused,Relaxed,Euphoric","peach,mint,citrus","Rated R is a hybrid weed strain made from a genetic cross between Banana OG and Mimosa V6. This strain is 60% sativa and 40% indica. Rated R is a balanced and versatile hybrid that offers a diverse range of effects and flavors. Rated R typically contains around 20-24% THC, making it an ideal choice for experienced cannabis consumers who appreciate a well-rounded and potent strain. Leafly customers report that Rated R effects include feeling relaxed, euphoric, and happy, making it suitable for both relaxation and enhancing mood. Medical marijuana patients often choose Rated R when dealing with symptoms associated with chronic pain, anxiety, and depression, as it can provide soothing relief and promote a sense of well-being. Bred by Symbiotic Genetics, Rated R features flavors like sweet and earthy notes, hints of mint, and a touch of citrus, creating a complex and enjoyable taste profile. The dominant terpene of this strain is caryophyllene, which contributes to its earthy aroma and potential pain-relieving properties. The average price of Rated R typically ranges from $10-$16 per gram, offering a reasonably priced option for those seeking a balanced and flavorful cannabis strain. Rated R is a versatile and enjoyable hybrid strain that caters to a wide range of cannabis enthusiasts. If you?ve smoked, dabbed, or consumed Rated R, tell us about your experience by leaving a strain review.",65,55
Cherry Gelato | Live Resin | Ready To Use | 1g,Rove,Hybrid,Vaporizers,92.60%,$95.00 ,"Relaxed,Hungry,Euphoric","berry,sweet,tropical","Cherry Gelato, also known as ""Cherrylato"", is a hybrid weed strain (60% sativa & 40% indica) made by crossing Black Cherry Funk with Acai. The effects of Cherry Gelato are more calming than energizing. Consumers who have smoked this strain say it makes them feel euphoric, relaxed and creative. Cherry Gelato is best enjoyed during the afternoon or evening hours and pairs well with activities that require creative thought. In terms of flavor, you can expect sweet flavor combinations of tropical berries. One reviewer on Leafly dubbed Cherry Gelato as ?one of the best highs? they have ever had. The dominant terpene in this strain is Pinene, followed by Caryophyllene and Limonene. The original breeder of this strain is unknown.",92,95
Pineapple Express | Live Resin | Ready To Use | 1g,Rove,Hybrid,Vaporizers,92.60%,$95.00 ,"Calm,happy,relaxed,Energetic",Not Specified,"Buckle up for a heady trip across the pacific. Pineapple Express provides a blast of energy, promotes focused awareness and increases that quintessentially-coastal feeling of creativity. Got a best friend (or maybe dealer) you wanna share with? This hybrid is a great group activity with the perfect amount of THC to make you feel buzzed, alert and ready for an adventure. A slightly tropical taste of pineapple gives this strain its sun-kissed sweetness.Tastes: Pineapple, Earthy, Piney Terpenes: Myrcene, Caryophyllene, Limonene Effects/ Relief: Pain, Creative, Anxiety Lineage: Trainwreck x Hawaiian",92,95
Space Jam | Live Resin Disposable,To The Moon,Hybrid,Vaporizers,87.16%,$80.00 ,"Euphoric,Focused,Hungry","apricot,mint,tea","Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",87,80
Lemon Cherry Gelato | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,89.65%,$80.00 ,"Euphoric,Focused,Hungry",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",89,80
Pink Ztarburst | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,87.67%,$80.00 ,"Euphoric,Focused,Hungry",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",87,80
Cherry Bomb | Disposable | Live Resin | 1.0g,To The Moon,Hybrid,Vaporizers,86.41%,$80.00 ,"Euphoric,Focused,Hungry",Not Specified,"Disposable vaporizers contain concentrated cannabis oil that is heated by an attached battery and inhaled. These products come charged and ready to go, and are not designed to be reused, refilled, or recharged. These products are often very potent and are designed to be consumed in 2-3 second puffs.",86,80
Animal Mints | POD | 1g,Plug Play,Hybrid,Vaporizers,91%,$70.00 ,Relaxed,Not Specified,"Let your wild side out with our newest addition to our DNA line. Your mind and body will unwind thanks to the calming effects of Animal Mintz with an aftertaste that is faintly minty and is both sweet and pungent. Known to provide exhilaration while lowering tension, stress and pain.",928,70
Melon Dew | Exotics | POD | 1g,Plug Play,Hybrid,Vaporizers,91.24%,$70.00 ,Happy,Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,91,70
Peach Ringz | Exotics | POD | 1g,Plug Play,Hybrid,Vaporizers,88.36%,$70.00 ,Happy,Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,88,70
Melon Dew | Exotics | POD | 1g,Plug Play,Hybrid,Vaporizers,91.24%,$70.00 ,Happy,Not Specified,Cannabis vaporizers are a great way to consume discreetly and consistently. Vape cartridges contain concentrated cannabis oil that is heated by a battery and vaporized for inhalation. These products are very potent and are designed to be consumed in 2-3 second puffs.,91,70
Berkshire Roots | Dark belgian style | 100mg,Berkshire Roots,Hybrid,Tincture,100mg,$32.00 ,"Inspired,Happy,Uplifted",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,32
Sleep | Tablets | 20 Pack,1906,Indica,Edibles,100mg,$35.00 ,"Sleepy,Calm",Not Specified,"SLEEP combines full-spectrum cannabis oil (RSO indica), CBD, and CBN to stand out as a fast-acting, effective and health-conscious choice for those seeking an improved sleep experience. Like all 1906 Drops, it?s fast-acting, sugar-free, calorie-free, gluten-free and vegan.",100,35
Sleep | Tablets | 2 Pack,1906,Indica,Edibles,100mg,$4.00 ,"Sleepy,Calm",Not Specified,"SLEEP combines full-spectrum cannabis oil (RSO indica), CBD, and CBN to stand out as a fast-acting, effective and health-conscious choice for those seeking an improved sleep experience. Like all 1906 Drops, it?s fast-acting, sugar-free, calorie-free, gluten-free and vegan.",100,4
Dreamberry | 100mg,Jaunty,Indica,Edibles,100mg,$24.00 ,"Relaxed,Sleepy,Happy",Not Specified,Need a little rest and relaxation? Wind down your day with Jaunty?s Snoozeberry gummies! Each piece comes formulated with 10mg THC and 10mg CBN for the perfect nighttime treat. Sweet dreams...,100,24
Pineapple x Dosidos x Zkittles | Rosin Gummies,MFNY,Indica,Edibles,100mg,$30.00 ,"Relaxed,Sleepy,Happy",Not Specified,"These palate-pleasing Pineapple Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of pineapple.",N/A,30
Offline | 100mg,Off Hours,Indica,Edibles,100mg,$30.00 ,"Relaxed,Sleepy,Happy",Not Specified,"OFF HOURS GRAPE PUNCH FLAVORED GUMMIES ARE SPECIALLY FORMULATED WITH THE PERFECT COMBINATION OF THC, CBN, AND CBD TO SEND YOU FAST ASLEEP. SWEET DREAMS. NANO-ENHANCED CANNABINOIDS FOR FAST ONSET. VEGAN FRIENDLY AND GLUTEN FREE.",100,30
Midnight Blueberry 5:1 | Camino | Sleep | 100mg,Kiva,Indica,Edibles,100mg,$33.00 ,"Sleepy,Relaxed",Not Specified,"Our top-selling product - and for a reason. Settle in for a smooth slumber by a serene lake and let all your worries go. This calming combination of THC, CBN, and relaxing, indica-like terpenes pair with chamomile and lavender extracts to promote restful sleep.",100,33
TTM | Pluto Punch | 100mg,To The Moon,Indica,Edibles,100mg,$30.00 ,"Relaxed,Sleepy,Happy,Calm,Clear mind",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
TTM | Cherry Nova | 100mg,To The Moon,Indica,Edibles,100mg,$30.00 ,"Happy,Relaxed,Sleepy",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
Hindu Kush | Jar ,Dank,Indica,Flower,29.10%,$53.00 ,"Relaxed,Sleepy,Happy",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,29,53
Benzina,Florist Farms,Indica,Flower,26%,$70.00 ,"Relaxed,Sleepy,Happy",Not Specified,ABOUT:Each jar contains a quarter ounce (7g) of flower.AROMA/FLAVOR Diesel forward with spicy and herbal undertones.,26,70
